Russia-MGGT,55.66666666667,37.5,1,16.098,14.512
Russia-MSK01-Zona1,0,37.98333333333,1,1300000,-4511057.628
Russia-MSK01-Zona2,0,40.98333333333,1,2300000,-4511057.628
Russia-MSK02-Zona1,0,55.03333333,1,1300000,-5409414.7
Russia-MSK02-Zona2,0,58.03333333333,1,2300000,-5409414.7
Russia-MSK03-Zona1,0,100.03333333333,1,1250000,-5211057.63
Russia-MSK03-Zona2,0,103.03333333333,1,2250000,-5211057.63
Russia-MSK03-Zona3,0,106.03333333333,1,3250000,-5211057.63
Russia-MSK03-Zona4,0,109.03333333333,1,4250000,-5211057.63
Russia-MSK03-Zona5,0,112.03333333333,1,5250000,-5211057.63
Russia-MSK03-Zona6,0,115.03333333333,1,6250000,-5211057.63
Russia-MSK03-Zona7,0,118.03333333333,1,7250000,-5211057.63
Russia-MSK04-Zona1,0,85.46666666666,1,1300000,-5112900.56
Russia-MSK04-Zona2,0,88.46666666666,1,2300000,-5112900.56
Russia-MSK05-Zona1,0,46.98333333333,1,4300000,-11057.628
Russia-MSK06-Zona1,0,43.98333333333,1,1300000,-4311057.63
Russia-MSK07-Zona1,0,43.98333333333,1,1300000,-4311057.63
Russia-MSK08-Zona1,0,40.98333333333,1,1300000,-4711057.63
Russia-MSK08-Zona2,0,43.98333333333,1,2300000,-4711057.63
Russia-MSK08-Zona3,0,46.98333333333,1,3300000,-4711057.63
Russia-MSK09-Zona1,0,40.98333333333,1,1300000,-4311057.63
Russia-MSK10-Zona1,0,32.03333333333,1,1400000,-6511057.63
Russia-MSK10-Zona2,0,36.03333333333,1,2400000,-6511057.63
Russia-MSK11-Zona1,0,41.03333333333,1,1400000,-6211057.628
Russia-MSK11-Zona2,0,44.03333333333,1,2400000,-6211057.628
Russia-MSK11-Zona3,0,47.03333333333,1,3400000,-6211057.628
Russia-MSK11-Zona4,0,50.03333333333,1,4400000,-6211057.628
Russia-MSK11-Zona5,0,53.03333333333,1,5400000,-6211057.628
Russia-MSK11-Zona6,0,56.03333333333,1,6400000,-6211057.628
Russia-MSK11-Zona7,0,59.03333333333,1,7400000,-6211057.628
Russia-MSK11-Zona8,0,62.03333333333,1,8400000,-6211057.628
Russia-MSK11-Zona9,0,65.03333333333,1,9400000,-6211057.628
Russia-MSK12-Zona1,0,47.55,1,1250000,-5914743.504
Russia-MSK12-Zona2,0,50.55,1,2250000,-5914743.504
Russia-MSK13-Zona1,0,44.55,1,1250000,-5914743.504
Russia-MSK13-Zona2,0,47.55,1,2250000,-5914743.504
Russia-MSK14-Zona1,0,108.45,1,1400000,-5912900.566
Russia-MSK14-Zona2,0,114.45,1,2400000,-5912900.566
Russia-MSK14-Zona3,0,120.45,1,3400000,-5912900.566
Russia-MSK14-Zona4,0,126.45,1,4400000,-5912900.566
Russia-MSK14-Zona5,0,132.45,1,5400000,-5912900.566
Russia-MSK14-Zona6,0,138.45,1,6400000,-5912900.566
Russia-MSK14-Zona7,0,144.45,1,7400000,-5912900.566
